Gene1,Gene2
KLF6,CRABP2
ID2,SCHIP1
FOS,DPCD
ZNF143,APEH
PTTG1,NIP7
ZNF143,MRPS27
NFYB,MCM3
NFYB,DPYSL2
KLF6,MT2A
OTX2,RUVBL1
MCM3,ZNF143
PTTG1,ZWILCH
MCM4,MCM3
MCM3,SERPINB1
ZNF143,ATG5
KLF6,SMYD3
KLF6,DPYSL2
MCM3,BUB1B
OTX2,TNFRSF12A
ZNF143,KNTC1
NFYB,DPCD
OTX2,PCCA
RUVBL1,PTTG1
ID2,ACADVL
KNTC1,ICA1
DDIT3,TF
ID2,ZWILCH
RUVBL1,CAMK2D
DDIT3,ACTC1
MCM3,CCNH
KNTC1,SCHIP1
CRABP2,NQO1
ZNF143,MCM4
KNTC1,KNTC1
NFYB,CENPF
MCM4,ID2
MCM7,UBE2T
KNTC1,ACTC1
FOS,CACYBP
FOS,RUVBL1
DDIT3,PLCD1
RUVBL1,CCNH
ZNF143,CDK1
OTX2,ZNF143
CRABP2,KLF6
OTX2,CA2
KNTC1,MCM3
MCM4,LGALS3
ID2,WARS
KLF6,OTX2
KLF6,PRMT5
ID2,ANAPC7
DDIT3,TNFRSF12A
PTTG1,ICA1
MCM7,KLF6
DDIT3,SCHIP1
MCM7,PTTG1
FOS,KLF6
ZNF143,DPYSL2
MCM7,UTRN
NFYB,CDK1
PITX2,ACTL6A
ID2,RBP4
DDIT3,ICA1
RUVBL1,SMYD3
OTX2,KIF20B
ID2,UBE2T
PITX2,ANAPC7
DDIT3,CENPF
FOS,MCM4
KNTC1,NQO1
OTX2,OCIAD2
PITX2,CCNB1
NFYB,TM2D2
KNTC1,CACYBP
KNTC1,PLCD1
MCM3,UBE2T
FOS,BUB1B
MCM3,RBP4
PITX2,WARS
ZNF143,ANXA3
KLF6,CDK1
PITX2,TPD52L1
RUVBL1,NQO1
CRABP2,ATG5
OTX2,CDK1
RUVBL1,BUB1B
OTX2,OTX2
OTX2,PRKCE
DDIT3,DPYSL2
KNTC1,PTTG1
KNTC1,WARS
CRABP2,KIF20B
CRABP2,SERPINB1
DDIT3,ASNS
MCM3,SMYD3
KLF6,CA2
KLF6,CCS
MCM3,TM2D2
PTTG1,CYP3A5
CRABP2,PITX2
KLF6,KIF20B
MCM3,KIF20B
RUVBL1,NFYB
PITX2,CCS
PTTG1,TNFRSF12A
CRABP2,DPYSL2
MCM7,ATG5
ZNF143,CA2
FOS,SCHIP1
FOS,MCM3
CRABP2,MCM7
PTTG1,MCM4
MCM3,DPCD
ID2,MCM7
MCM7,ACTL6A
MCM4,DDIT3
RUVBL1,WARS
NFYB,CYP3A5
MCM4,GSN
RUVBL1,CACYBP
MCM4,ANXA3
KLF6,GSN
PTTG1,DPCD
ZNF143,NIP7
FOS,SERPINB1
RUVBL1,KIF20B
NFYB,CAMK2D
MCM4,CYP3A5
KNTC1,CYP3A5
PITX2,DDIT3
ID2,KLF6
PITX2,PTTG1
KNTC1,RUVBL1
PITX2,ATG5
MCM3,IQGAP2
KLF6,PCCA
FOS,PLCD1
MCM3,ID2
OTX2,NEK2
DDIT3,MCM7
CRABP2,ASNS
CRABP2,VTN
RUVBL1,ZNF143
CRABP2,PLK1
KNTC1,LGALS3
ID2,PITX2
RUVBL1,PLCD1
MCM4,OTX2
MCM3,PTTG1
RUVBL1,ID2
OTX2,PTTG1
MCM4,PTTG1
FOS,TNFRSF12A
MCM3,DPYSL2
ID2,BUB1B
PITX2,CA2
MCM3,HESX1
MCM3,GSN
KNTC1,DPCD
NFYB,NQO1
NFYB,SMYD3
KLF6,APEH
KNTC1,KIF20B
KLF6,SCHIP1
NFYB,RBP4
KLF6,VTN
DDIT3,HESX1
FOS,ACADVL
PITX2,BUB1B
PITX2,ZWILCH
ID2,OCIAD2
MCM3,OTX2
KNTC1,DDIT3
ID2,OTX2
KLF6,PITX2
ZNF143,UTRN
MCM4,OCIAD2
ZNF143,NQO1
CRABP2,TF
MCM7,PITX2
MCM4,IQGAP2
MCM7,FOS
KNTC1,CDK1
MCM7,MCM4
ZNF143,PRKCE
DDIT3,CACYBP
DDIT3,MCM4
KLF6,BUB1B
MCM4,SCHIP1
MCM4,WARS
CRABP2,ACTL6A
MCM7,PLCD1
PITX2,PCCA
OTX2,CCNH
ID2,CCNB1
MCM4,CENPF
OTX2,CAMK2D
MCM7,ICA1
PITX2,SERPINB1
ID2,DPCD
DDIT3,ID2
KNTC1,ZWILCH
MCM7,TM2D2
MCM3,PCCA
PITX2,PRMT5
NFYB,ANAPC7
PTTG1,RUVBL1
PITX2,DPYSL2
PITX2,FOS
RUVBL1,CRABP2
ID2,APEH
FOS,RBP4
PTTG1,MCM7
ID2,HESX1
FOS,CDK1
NFYB,IQGAP2
RUVBL1,OTX2
ZNF143,ZNF143
KNTC1,CCNH
MCM3,ASNS
OTX2,VTN
NFYB,CACYBP
MCM4,CCS
PTTG1,ZNF143
DDIT3,CAMK2D
CRABP2,IQGAP2
FOS,CCS
MCM7,ID2
KNTC1,MCM4
FOS,UTRN
DDIT3,NQO1
PITX2,LGALS3
ID2,CCNH
OTX2,TPD52L1
PITX2,TM2D2
ID2,PRMT5
FOS,ZNF143
DDIT3,GSN
NFYB,ADM
KLF6,PLK1
ZNF143,CCNH
KLF6,TM2D2
OTX2,DPYSL2
PITX2,CACYBP
CRABP2,HESX1
ID2,ICA1
KNTC1,ACTL6A
PTTG1,TM2D2
MCM3,PLCD1
OTX2,TF
RUVBL1,OCIAD2
MCM3,CAMK2D
DDIT3,RBP4
DDIT3,CDK1
PITX2,CYP3A5
FOS,CYP3A5
KLF6,CACYBP
CRABP2,PCCA
RUVBL1,MRPS27
ZNF143,ADM
MCM4,NIP7
CRABP2,NIP7
ZNF143,CENPF
NFYB,TNFRSF12A
KNTC1,PLK1
KLF6,OCIAD2
DDIT3,OTX2
OTX2,CCS
PTTG1,CCNB1
OTX2,MCM7
OTX2,MCM3
KNTC1,ATG5
CRABP2,RBP4
ZNF143,TPD52L1
DDIT3,KNTC1
RUVBL1,FOS
CRABP2,BUB1B
KLF6,ACADVL
ZNF143,NIF3L1
KNTC1,MRPS27
KLF6,KNTC1
FOS,TM2D2
ZNF143,SMYD3
PITX2,ANXA3
FOS,APEH
KLF6,MCM3
RUVBL1,PRMT5
ZNF143,WARS
OTX2,PLCD1
RUVBL1,DPCD
KLF6,ACTL6A
RUVBL1,IQGAP2
RUVBL1,MCM4
MCM4,ADM
MCM4,VTN
DDIT3,APEH
DDIT3,PCCA
MCM4,CA2
ZNF143,MCM7
DDIT3,TM2D2
MCM7,HESX1
PITX2,ICA1
ID2,CAMK2D
KLF6,RBP4
PITX2,VTN
KLF6,HESX1
MCM3,CRABP2
KNTC1,CA2
RUVBL1,DPYSL2
PITX2,KIF20B
FOS,OTX2
KNTC1,SERPINB1
FOS,MRPS27
MCM7,CCS
RUVBL1,SERPINB1
FOS,CAMK2D
FOS,KNTC1
OTX2,UTRN
RUVBL1,MCM3
OTX2,GSN
NFYB,TF
ID2,TNFRSF12A
MCM4,ASNS
CRABP2,ZWILCH
FOS,GSN
PITX2,OTX2
ID2,ASNS
RUVBL1,ZWILCH
DDIT3,UBE2T
KNTC1,OTX2
DDIT3,NIF3L1
RUVBL1,DDIT3
KNTC1,NFYB
MCM7,PCCA
MCM3,PITX2
MCM4,ICA1
KNTC1,DPYSL2
KLF6,MCM4
OTX2,ICA1
MCM7,MCM3
KLF6,NFYB
OTX2,KNTC1
PITX2,RUVBL1
MCM7,ADM
CRABP2,PLCD1
CRABP2,MCM3
OTX2,CCNB1
MCM3,CDK1
RUVBL1,CCNB1
DDIT3,NEK2
OTX2,ANAPC7
OTX2,WARS
RUVBL1,KNTC1
KLF6,ADM
CRABP2,DPCD
MCM7,TPD52L1
NFYB,KNTC1
PTTG1,PITX2
ZNF143,SERPINB1
RUVBL1,ACADVL
MCM3,TNFRSF12A
MCM4,KNTC1
KNTC1,TPD52L1
CRABP2,CACYBP
MCM7,ACTC1
DDIT3,ATG5
CRABP2,PRMT5
CRABP2,LGALS3
OTX2,ATG5
ID2,NEK2
NFYB,HESX1
ZNF143,PLCD1
KNTC1,IQGAP2
PITX2,ACADVL
NFYB,SERPINB1
PITX2,KNTC1
ZNF143,ACTL6A
MCM7,ZWILCH
ZNF143,ID2
MCM3,FOS
OTX2,KLF6
RUVBL1,NEK2
MCM3,PRKCE
ID2,NQO1
MCM7,NIF3L1
DDIT3,ZWILCH
PITX2,RBP4
MCM7,PRKCE
CRABP2,ACTC1
KNTC1,HESX1
FOS,NQO1
KNTC1,ASNS
PTTG1,BUB1B
DDIT3,LGALS3
PTTG1,ACTC1
KLF6,CENPF
CRABP2,KNTC1
MCM3,CYP3A5
ID2,GSN
MCM3,TF
KLF6,CAMK2D
OTX2,CRABP2
OTX2,NFYB
FOS,ICA1
NFYB,ZWILCH
MCM4,KLF6
DDIT3,SMYD3
ZNF143,ANAPC7
ZNF143,OCIAD2
CRABP2,CENPF
PTTG1,PRKCE
OTX2,PITX2
ID2,CENPF
DDIT3,NFYB
MCM4,PLCD1
MCM3,MCM4
PITX2,MCM7
MCM4,SERPINB1
KNTC1,NIP7
DDIT3,UTRN
NFYB,CRABP2
KNTC1,APEH
NFYB,ICA1
MCM7,MT2A
FOS,NFYB
PITX2,ID2
CRABP2,CCNH
MCM3,ZWILCH
DDIT3,PITX2
PTTG1,CENPF
ZNF143,ZWILCH
MCM7,OTX2
ID2,TF
MCM3,PLK1
KNTC1,NEK2
MCM7,RUVBL1
ID2,MT2A
FOS,LGALS3
KNTC1,CCS
NFYB,ID2
NFYB,MCM4
KNTC1,ID2
RUVBL1,ASNS
CRABP2,FOS
NFYB,PTTG1
RUVBL1,PRKCE
ZNF143,CAMK2D
ID2,DDIT3
MCM7,ASNS
ID2,ID2
DDIT3,MCM3
MCM3,KLF6
DDIT3,CCNB1
ZNF143,CCS
MCM4,CCNB1
MCM3,CCNB1
PTTG1,KIF20B
FOS,ACTC1
MCM3,UTRN
KNTC1,ZNF143
RUVBL1,ANAPC7
MCM3,CACYBP
ID2,DPYSL2
PTTG1,CRABP2
PTTG1,LGALS3
PTTG1,PLCD1
NFYB,APEH
FOS,KIF20B
ZNF143,NEK2
RUVBL1,ACTL6A
NFYB,UBE2T
ZNF143,LGALS3
KNTC1,MT2A
PTTG1,SCHIP1
DDIT3,DDIT3
PITX2,PRKCE
OTX2,ANXA3
RUVBL1,PCCA
OTX2,NIF3L1
OTX2,MT2A
ZNF143,CRABP2
RUVBL1,RUVBL1
OTX2,CYP3A5
MCM7,TNFRSF12A
CRABP2,ZNF143
MCM4,UBE2T
RUVBL1,TM2D2
MCM3,PRMT5
RUVBL1,ATG5
KLF6,FOS
DDIT3,KIF20B
KLF6,UBE2T
ZNF143,PLK1
ID2,MRPS27
RUVBL1,UBE2T
KNTC1,VTN
OTX2,SMYD3
FOS,PRMT5
KNTC1,BUB1B
ZNF143,ASNS
KLF6,KLF6
KLF6,TF
RUVBL1,RBP4
MCM4,MCM4
KNTC1,TNFRSF12A
NFYB,CA2
PITX2,CCNH
PTTG1,MT2A
ID2,TM2D2
NFYB,MT2A
ID2,KNTC1
NFYB,LGALS3
ID2,PRKCE
KNTC1,PCCA
MCM4,DPCD
DDIT3,CA2
OTX2,DDIT3
PITX2,ZNF143
CRABP2,APEH
NFYB,CCNH
KNTC1,ANAPC7
CRABP2,DDIT3
FOS,ANAPC7
MCM4,MT2A
MCM3,ICA1
KNTC1,OCIAD2
MCM7,CCNB1
MCM4,CRABP2
ID2,CDK1
KLF6,RUVBL1
DDIT3,ZNF143
FOS,MCM7
PITX2,SCHIP1
KLF6,ASNS
MCM4,ACTL6A
MCM7,MCM7
PTTG1,APEH
FOS,IQGAP2
ZNF143,CCNB1
MCM3,MRPS27
PITX2,UTRN
KLF6,NEK2
ZNF143,KLF6
MCM7,NEK2
ZNF143,PITX2
CRABP2,ID2
NFYB,ACADVL
DDIT3,KLF6
FOS,SMYD3
OTX2,RBP4
RUVBL1,MT2A
CRABP2,OCIAD2
PTTG1,PTTG1
PTTG1,ASNS
FOS,ID2
CRABP2,UTRN
KLF6,ANAPC7
ID2,PLCD1
NFYB,PCCA
KLF6,LGALS3
PITX2,KLF6
PTTG1,CDK1
PTTG1,ANAPC7
KNTC1,UBE2T
PTTG1,CACYBP
PTTG1,CAMK2D
RUVBL1,NIP7
ID2,CRABP2
FOS,CA2
CRABP2,SMYD3
ZNF143,PTTG1
OTX2,SCHIP1
MCM4,HESX1
ZNF143,FOS
OTX2,NQO1
MCM7,RBP4
MCM4,CAMK2D
ID2,ADM
NFYB,PITX2
CRABP2,CDK1
MCM7,OCIAD2
MCM4,CDK1
PTTG1,TPD52L1
RUVBL1,TF
KLF6,SERPINB1
KNTC1,TM2D2
DDIT3,PRMT5
MCM7,IQGAP2
KLF6,PTTG1
MCM4,NFYB
PITX2,GSN
PTTG1,UTRN
PITX2,MT2A
DDIT3,BUB1B
DDIT3,FOS
CRABP2,NFYB
MCM7,CA2
RUVBL1,ICA1
MCM4,ATG5
KLF6,CCNH
OTX2,ASNS
